,Unnamed: 0,index,id,timestamp,scene,game_setup,game_gameplay,game_scoring,game_difficulty,game_firstTimeScore,gameScore_score,gameScore_thoughts,debrief_strategy,debrief_difficulties,debrief_questions,debrief_external_aids,game_edited,edited_game_fields
69,69,134,I1OpGx1BtTByOehoxKDq,2022-01-21 01:07:42.722000+00:00,many_objects,"3 dodgeballs, one curved ramp set up against the bin, 3 cylinderblocks and 3 cubeblocks  ",The objective of the game is for the player to score as many points in a row by launching the dodgeballs through the curved ramp into the bin,"After each succesful throw, the player sets up a cylinderblock as a way to keep track of scoring. After 4 succesful throws the player earns a cubeblock.",2,4,2,"It's really simple but surprinsingly entertaining. It could be improved by taking the dodgeballs out of the bin before making another throw, since that makes scoring difficult after 2 points. Which could be seen as another layer of challenge","I mainly considered making a simple game, easy to get into and really straightforward so that the player doens't get overwhelmed with trying to memorize several rules and learning different controls. Although it can still use the basic features of the game engine, sorta like a ""demo"".",a small problem with the scroll wheel function but it was entirelly on my end.,"no, just wish you good luck in the study! (Also, i really liked the physics of the broken windows and screens, and the player's model, don't know if it's just a standard model but it reminds me of playstation's Astro)",no ,False,
70,70,135,EeEZO5cBjEuKYTBYmfHX,2022-01-21 14:59:54.169000+00:00,many_objects,"Take the bin and put it on the floor, in front of the computer, just in the same place where the chair is (put away the chair first). Then take these objects to throw: 3 dodgeballs, 3 golfballs, 3 triangle blocks and 3 pyramid blocks and put it next to the drawer where the alarm clock is, near the bed. Now take the Curved Ramp and put it in front of the Bin, creating a route for the golfballs for more fun.","With the setup ready, place yourself just in front of the bed, you can put a pillow on the floor as a reference. The objects to throw should be next to you, on your left. To score points throw the objects inside the bin without getting closer to it. You can stand up or you can crouch. If you hit the computer desktop or the laptop there is a penalty.","Triangle blocks give 1 point if they fall inside the bin, pyramid blocks give 2 points, dodgeballs give 2 points, golfballs 3 points. If you use the curved ramp when throwing a golfball (only golfballs) you get 6 points. If you hit the computer or laptop you lose 1 point and you can go below 0 points. So you can end the game with -2 for example.",3,3 points,2. (-1; +1; -1; +3),"Maybe it's too short so I could add other objects. The ramp give a lot of points but is very hard to use. Also, breaking a computer is not convenient, and I did.","After I was familiar with the comands, I observed the room and what was inside it. The first fun thing I noticed was the empty bin so it was very intuitive for me to imagine it as a key object to score point. Seeing all those small objects and balls around also helped. Then I needed to figure out a score system so after I saw that the golfballs were light and hard to crontrol, I used them as a bonus to five more points. I used the ramp for extra point and the computer for the penalty because there were too many unused object otherwise.
I think that my past experience with videos on the internet of people spending hours doing crazy throws to score records influenced me.","No, everything went fine.","Nice experiment, I wonder if you can create something cool with lightswitches and ther objects that I didn't figure out.","No, the questions next to the game screen helped me to develop the game and keep track of everything.",True,"setup,scoring,firstTimeScore"
71,71,136,XexzCkW95vUcVYAFhSA9,2022-01-21 15:00:23.787000+00:00,many_objects,It's necessary for the player to position the pillows on the bad as well as the bridges on the floor. It's also necessary for the cylinder blocks to be positioned in challenging spots.,"The game consists of a player, throwing dodgeball to hit the pillows on the bed or using the golfballs to get the ball to go under the little colored bridges. They must throw from the wooden triangle ramp close to the desk and can't hit the colored cylinder blocks, if they do, that throw doesn't count. The player has 10 turn to do the max score he can (the pillow and bridges both score 1 point) ","If the player hits the standing up pillows on the bed with the dodgeball, or throws a golf ball to go under the colored bridge blocks they score 1 point. If the dodgeball or golf ball hits 1 or more cylinders, even after hitting the objective, the throw doesn't count.",2,6,7,"It could be very easy or very hard, depending on the skill the player has on throwing things. Either way, it's a fun game to play and with custom adjustments such as the positioning of the objectives and the cylinders, the game can easily become harder or easier","First, i looked about what was the most fun thing to play with that was in the room. Looked right away to the dodge and gold balls. After that, i tought it would be fun to just throw it somewhere just because throwing things is fun. The only thing left was finding the goals the player should aim at. Looked over the room again to see what i could find. The pillows looked like targets so they immediately were turned into one and because the goldball need a different challenge i tought of trying to throw it under something, and then we bridge idea came up. Becase i thought the game was too easy, decided to add some obstacles to crank the difficulty up","I couldn't position the pillows the way i wanted beacuse i couldn't jump on the bed to put them against the wall. It could be useful too that we could freeze objects while we were holding them, so they stay right where we positioned them.","Very interesting study, never had done anything like this. Was different and fun.","No, came up with the ideas only by looking at room and trying to figure out a way to make fun with what i got.",False,
72,72,137,gPJmGRgPdHSlBI7IMc3z,2022-01-21 15:02:00.526000+00:00,many_objects,"this game is throwing balls at the teddy bear.
initial setup requires:
1) put the teddy bear in an upright position on the bed.
2) the 7 balls (3 dodge balls, 3 golf balls, and 1 beach ball) are put together in one place below the chair at the computer desk.
3) the player sit on the chair.","to play the game, the player throws the balls one by one at the teddy bear to make it fall.","each time if the player hits the teddy bear and make is fall (not in an upright position) the player gains 1 point.

The player must score at least 7 balls to win and lose otherwise.",2,"I would score around 5/7 on the first time playing, but will improve over time..",5/7,"probably too much for 3 rounds, 1 round is enough. Also the teddy bear falls the play has to pick it up, thus consuming time.","my first impression when entering the 3D room was there are balls and I could throw things so i decided some throwing game. Also, I picked the teddy bear and throw it, it falls, so assuming this game needs to have some score with hitting the target to make it fall",no,im curious about the aim of the study?,"no, I  like the 3D environemtn",True,"scoring,difficulty,firstTimeScore"
73,73,139,7r4cgxJHzLJooFaMG1Rd,2022-01-21 16:16:04.551000+00:00,many_objects,"At first you have to place the bin to the centre of the room, and frezze it, then prepare all the dogdeballs near to you.","You have to stand as close as you can to the table, and try to throw the dogdeballs and the golfballs in to the bin. ",If you succesfully throw a dodgeball to the bin you get a score.,3,10,2,You can also use the golballs.,I'v just got a good idea.,No I haven't got any difficulties.,No I don't have any questions.,I was asking my friend about my ideas.,True,gameplay
74,74,143,1HOTuIZpRqk2u1nZI1v1,2022-01-21 17:02:53.473000+00:00,many_objects,"You must play with the golf balls, the bin must be frozen, also one yellow pillow must be placed in the middle of the room, frozen too","Throwing golf balls on the bin, trying to make them fall inside of it from a short distance, set by a yellow pillow. It must be placed oin the middle of the room, right infront of the bin. You have to throw 10 times a golf ball from the yellow pillow. If they fall on the bin you score.",There would be 10 chances of throwing. Each ball that falls on the bin would give you 5 points,3,15 points,I scored 0 points,It's harder than I thought. I think it would be better if you have the 10 chances from the mid way distance,"I tried to make a game that would have easy instructions for everybody to understand it easy, but trying to not make the game itself too easy",The game was moving slow in general,"No, thank you",No,True,"setup,gameplay,scoring,firstTimeScore"
75,75,147,QyX7AlBzBW8hZHsJeDWI,2022-01-21 21:05:25.902000+00:00,few_objects,The setup in the room is as it appeared. No additional requirements to play the game.,"Picking up and dropping off the round ball into the bin basket. The player has five attempts to get a 5 star rating. If, after five attempts, the player is not able to successfully drop the ball in the basket, the player loses the game.",The player gets 5 star when the ball is successfully dropped in the bin basket. The player has five attempts to achieve the 5 star rating. ,3,No star.,5 star,I think the game is at medium level (difficulty level).,I considered the objects available in the room. I though of possible games that I may have played using the objects in the room.,There were no difficulties except for trying to understand the instructions at the initial stage.,,Yes,False,
76,76,149,vfh1MTEQorWXKy8jOP1x,2022-01-21 22:50:15.504000+00:00,few_objects,,"To play may game, you throw the 6 CubeBlocks in the bin. You stand on the carpet, either on the yellow spot or the pink spot.

The CubeBlocks are quite big so you end up with a pile of blocks: some of them are inside the bin and some of them are over it resting on top of the ones that are inside.

You have at most 18 tries to throw all the CubeBlocks succesfully (a throw is succesful when the block ends inside the bin or on the pile)

When you have thrown all the CubeBlocks, you stand on the yellow spot and throw the two Dodgeballs at the pile, trying to knock over to the floor as many CubeBlocks as possible.","For each succesful throw of a CubeBlock you get 10 points if you threw the block from the pink spot, or 15 points if you threw the block from the pink spot.

If you threw all the blocks succesfully from the yellow spot you get an additional of 15 points.

If you manage to throw all of the 6 CubeBlocks succesfully in 18 tries or less you get an additional of 15 points.

Finally, for each block you knock over using the two Dodgeballs you get 20 points.",3,80,95,It is very difficult to get maximum points.,I tried to make a quite simple game based on a modified version of an already existing and very popular game (basketball).,No.,No.,I used pen and paper to keep track of my score and also my succesful/unsuccesful tries.,False,
77,77,150,f2WUeVzu41E9Lmqmr2FJ,2022-01-21 22:51:18.274000+00:00,many_objects,"To prepare the room for the game you have to pick the bin and move it to a place you want it, it can be moved next to you or a few feet away from you, also, you have to pick and carry the dodgeballs with you from the distance you will throw them in purpose to insert them into the bin, the farder you insert the dodgeballs the more points you will gain.","You will play a game where you will insert the dodgeballs into the bin from the distance you consider you will insert all the dodgeballs into the bin, but, the farder you insert the dodgeballs the more points you will gain.  (The minimun close distance to the bin is one step far from it)","First you will find a position for the bin, so, after that, every step you are far from the bin it will represent the points you will gain if you insert one of the dodgeballs into the bin (after you walk a step for a single direction the next step you walk it has to be different to the opposite step you did before), so, when you are ready  you will try to insert the three dodgeballs balls into the bin. Example, I already positioned the bin where i wanted and I walked three steps to the right and three steps to the front far from the bin, so by then if I choose to throw the dodgeballs from here, each of the balls that I insert into the bin will gain me 6 points.  (The minimun close distance to the bin is one step far from it)",2,"You can imagine different scores, it depends on how far are you from the bin and how good are you on  throwing the balls. For example, in my first try I will posisionate the bin one step next to me, so, as far I know if I insert all the dodgeballs into the bin I will gain three points.","I did cero points, I didnt insert none of the balls","Now that I´ve played my game, I have some observations, one of them and the most important is that you have to be conscious of your distance from where you can pick the dodgeballs because once the game is set up you cannot move anymore and another observation is that you have to count your steps since you are in front of the bin.","First, I saw the whole room and I started to interact with the objects that the room had, after that, I saw the size of the room and I started to imagine me in that room and how can I be distracted, and then I created the game with the objects considering the size of them and the room.","Not at all just when I started to play my game, I realized some issues.",It was an interesting survey. I really enjoy it.,I wrote the game first before I answered the questions.,False,
78,78,151,Tcfpwc8v8HuKRyZr5Dyc,2022-01-22 00:15:16.270000+00:00,medium_objects,The Teddy bear needs to be moved to the floor  and placed at  the left foot of the bed. It has to be in a sitting position and facing the dog bed. The beachball needs to be placed on the floor near the wall at the right foot of the bed . The bin and basketball need to be moved from that area and placed near the drawer ,The player stands near the dog bed and throws the dodgeball at the beachball which is behind the teddy bear. The objective of the game is to move the beach ball from its position without disturbing the teddy bear from its sitting position.,The player scores 3 points for every throw in the beachball moves without the teddy being displaced from its sitting position .The player scores -1 if the teddy bear is displaced from its sitting position even if the beachball moves,2,3,-1,It 's harder than i though,I wanted to use the balls in the room and use an object they could be placed in or thrown at to create the game and use as a scoring mechanism,The objects would get stuck sometimes and I would have to reset the room,Well designed and interesting experiment,No,False,
79,79,152,FyGQn1qJCLTLU1hfQfZ2,2022-01-22 01:59:03.543000+00:00,many_objects,The setup for the game is fairly simple. There are only two objects needed to play the game: the bin and the golf balls.,"The player will be provided with golf balls and a bin, situated at a far spot of the room. The balls will have to be thrown from a pre-determined distance. The goal is to throw the balls inside the bin.","A player scores a point every time a throw ends inside the bin. Since the number of golf balls is limited, the player will have to pick up the balls after throwing them in order to continue playing. ",0,I think I would be able to score a point every four throws at least.,I scored one out of my three throws.,"I believe it is fairly simple but there seems to be a problem. It looks like the balls can not be picked up from inside the bin. A solution that I found is to pick up the bin using the left mouse button, rotate it in a way that it will make it possible for the balls to get out of the bin and reposition the bin at the place that it was before.","I had various ideas about creating the game but I thought that the game mechanisms did not allow for much creativity. At first, I tried using the dodgeball and some of the cylinders to create a bowling type of game but it did not seem possible because the impact between the objects did not meet my expectations. After, I tried creating another game using the triangular cylinders, the bin and golf balls. This did not seem to work because it would need for the balls to be shot from the ground in a linear way. I believe the game mechanisms do not allow that kind of shot to happen. Then, I decided to keep it simple. I placed the bin at the farther corner of the room and used the tall cylinders to mark the minimal allowed shooting distance.",I did not experience any technical issues.,I do not.,I did not use any external aids.,False,
80,80,153,9C0wMm4lzrJ5JeP0irIu,2022-01-22 01:59:43.025000+00:00,few_objects,,"To play my game you should move objects to the center of the room based on a color order. The color order is Pink, Blue, Brown, Multi-Color (Plaid), Green, then Tan.",You will receive one point for every object moved in the correct order. ,1,I would score near perfect.,6,Now that I've played my game I think it would be fun for a small child.,The gameplay was difficult. I was hoping for an easier way to move about in the room.,no,no,no,False,
81,81,154,39PytL3fAMFkYXNoB5l6,2022-01-22 02:25:21.606000+00:00,many_objects,Put the bin any where by the desk by the two posters. Put the ramps or other objects around the bin but keep the bin free from any objects directly in front of it.,Take the three dodgeballs and try to get it in the bin. You must stand on the carpet. Anything over the carpet is out of bounds. Try different angles and power to create cool shots. ,Each ball in the bin counts as one point. 3 is the goal.  ,3,1,0,Its silly but its something I would play bored at home in real life. ,I wanted simplicity. Seemed like something that could cause a lot of anxiety so I just saw the bin and threw balls at it. Office basketball. ,No. ,No,I took a picture of the initial rules because there was a lot to remember. ,False,
82,82,155,WtZpe3LQFZiztmh7pBBC,2022-01-22 16:33:22.608000+00:00,many_objects,,I would like to play how many balls can you drop/throw in the bin within 5 minutes. You can stand anywhere in the room to get the ball into the bin.,Each ball that one throws in the bin is 1 point.,4,2,1,Maybe people should get more than 1 minute to play (5 mins would be better),"I tried to create a game that would actually be fun to play. There were many balls on the shelf in the room so I figured it would be easy for one to get many tries. I also considered the difficulty in throwing the balls into the bin, so I modified the instructions to allow people to drop or throw the ball in the bin. It may take many tries to actually get one in, so I said the user should get 5 mins instead of the initial 1 min.",No,,No,True,gameplay
83,83,156,79X7tsrbEIu5ffDGnY8q,2022-01-22 16:36:46.212000+00:00,many_objects,Put the bin in between the two computer chairs laying with opening horizontal to the ground grab a dodgeball and go to the edge of the bed,standing at the edge of the bed attempt to throw or bounce the ball into the bin,each dodgeball is worth 1 point you get three chances to score 3 points if you make all the dodge balls then you use golf balls to add to that score each worth 1 point so in a perfect game you could score 6 points,3,0,0,It works great I rimmed out on one of my shots but defiantly is fun to play,I thought of things that would be fun to do in person and implemented it into a digital format also something that would require much skill to learn so you wont get bored.,No everything worked great,Enjoyed working on this study thanks!,No I did not,True,firstTimeScore
84,84,160,jCc0kkmGUg3xUmUSXg5w,2022-01-22 18:46:24.805000+00:00,few_objects,"To set up the game, take the numerous small objects such as the CD, watch, phone, credit card, pen, pencil, or keychain about the room and place them in hiding spots. Try to cover them with some of the larger objects such, such as the chair or pillow, or get playful and rearrange building blocks to provide obscurity. ",The game is a 'find the object' game where you are presented a room and go through to find every object on a given list. ,"There are seven objects (the CD, watch, phone, credit card, pen, pencil, and keychain) and each are assigned a point value of 100. The player has a certain amount of time, such as 3 minutes, to find every object on the list. With every second that passes, reduce the player's score by 2.",1,550,,,,,,,False,
85,85,161,9dQSLmtxxIBy0Rsnc8uu,2022-01-22 18:58:53.767000+00:00,few_objects,"I think there's an obvious and easy to setup throwing game with the objects in this room. Presented here you can use the trash can and the cubes/balls, but any sort of safe, toss able object and receptacle should work.","Stand in the pink square on the carpet and pick up one of the six cubes. Aim for the bin and throw. each cube. You get one chance with each cube, and if you do make it into the bin, you need to remove the cube.","The light beige cubes are worth 1 point. The dark beige cubes are worth 2, and the blue cubes are worth 3. Your total score is the total at the end of throwing the cubes. You lose one point when you throw a cube, but you cannot go into the negatives. You can pick the cubes in any order.",1,3,5,"I think it's a pretty volatile game. The order that you pick your cubes in is huge, because you can save your highest scoring cubes for the end and use the lowest cubes to figure out how to shoot.","I wanted to make something that was easy to recreate for anyone within that environment. I was a little disappointed we didn't get the same room as the tutorial because when I saw the Tennis Racket, my first thought was ""oh this is a grid. I can use this to make a board game!""","It runs a little slow, but that's because it's a browser game that's also in 3D. It's kind of unavoidable without making it a downloadable.",Thank you for making the player a cute robot.,I think I kept my game simple enough that no one would ever need to.,False,
86,86,162,QclKeEZEVr7j0klPuanE,2022-01-22 19:15:36.983000+00:00,few_objects,"Begin by placing the small objects (CD, watch, phone, credit card, pen, pencil, keys) around the room in various hiding spots. Use other objects like the book or building blocks to obscure and make them work for it.","This is a 'find the objects' game in a small room. Players go about to try to discover a checklist of seven objects (CD, watch, phone, credit, pen, pencil, keychain)",Each object is worth 100 points upon finding it. The player times themselves to find the objects about the room and deducts 2 points for every second that passes. The maximum allowed time is malleable but should be two to three minutes.,1,550,474,The objects are clipping and disappearing pretty badly. If they were more stable it would be better. ,"I looked about and thought maybe I could do something with the physics engine, but ultimately I enjoy puzzles and finding things, so I thought with the small objects present I could  demonstrate a good challenge finding where they might be. This proved a bit faulty but otherwise was okay to set up. I thought about it from the perspective of another person playing this single player challenge and not myself, which did create some problems.","Yes, the program closed itself out on my browser twice. I do not know why, my computer can handle it just fine.","I hope that my game, though easy and a bit faulty since I knew where they were, showed that such a game can be played by a single person. ",I wrote down the objects I had in mind on a note pad so I could recall what they were when describing the game.,False,
87,87,163,6ZjBeRCvHxG05ORmhInj,2022-01-22 19:54:39.542000+00:00,few_objects,Place the waste basket on the desk against the wall,you take 1 of 2 objects - either a dodgeball or a play block. you must stand on the carpet and throw either one of these objects towards the waste basket on the table in an attempt to get either object (dodgeball or play block) inside the trash can opening,"2 points for successfully scoring a ""basket"" with a dodgeball, 1 point for successfully scoring a ""basket"" with a block",4,1,0,it's a lot harder than i thought it would be,i looked around the room for traditionally playable objects that remind me of already invented games. balls and blocks are easy and simple to play with so i gravitated towards them,none,"none. this was fun, thank you",none,True,"difficulty,firstTimeScore"
88,88,165,SQErBa5s5TPVxmm8R6ks,2022-01-22 21:13:55.214000+00:00,few_objects,"Place the bucket on the bed and round pillow, slightly angled  so it is tilted to face the computer at a 45 degree angle. Take the 6 blocks from under the shelf and stack 3 on both sides of the bucket. take a ball from the shelf to use as the game ball. I prefer the pink ball. The throwing line is the back edge of the carpet. ",Try to make 5 baskets out of 10 throws. ,"One basket equals one point. You only have 10 throws in total, and three misses in a row ends the game as a loss. Alternatively, missing the bucket and knocking over either of the cube stacks on either side will wipe your score clean and end the game as a loss. To win the game, you must make 5 baskets out of 10 tosses. ",3,0,0,"It is very hard to throw the ball in the basket using these mechanics. I should lessen the negative impact of missing a throw. For example, take away the -1 score from missing. Instead, now you simply need to make 5 of 10 throws to win. ","My game is rather simple, unfortunately, as I couldn't think of anything other than ""ball in basket"". I considered making a stacking or Jenga type game, but there weren't enough similar pieces in the room to make a stacking game. Additionally, it would be hard to make a score system for that. Finally, I wanted my game to have some kind of unique ""twist"", so I added the towers on either side to make it harder!","None. It took me a few tries to get the hang of the throwing mechanism, but I got it towards the end. ",Is it actually possible to throw one of the pink/blue balls into the green basket? ,No. ,True,"setup,gameplay,scoring"
89,89,167,ktwB7wT09sh4ivNme3Dw,2022-01-22 22:03:24.545000+00:00,medium_objects,Player has to take the monitor off the table using other objects. Player takes the green Bin and places it on the center of the table facing bed side of the room. Bin must be frozen.,Player has to pick up one of the three balls that are present in the room and throw them using hold mouse button into the Bin. Player has to stand on the rug during throw for points to be counted. There is three minute limit to play the game. The minimum score to win is ten points.,"Scoring Dodgeball grants +1 point, scoring basketball grants +2 points. Throwing beachball from rug position to the bin so that ball is standing stable on the bin grants instant win.",4,4-6 points,,,,,,,False,
90,90,168,xMUrxzK3fXjgitdzPKsm,2022-01-22 22:07:25.779000+00:00,many_objects,"It is fairly simple, arrange a spot where the ball should land. Not too far away but close to other objects that interfere the bounce of the ball. Avoid adding large obstacles that are too close to each other because that can create an invisible wall. ","The idea is to get the dodgeball inside the dog bed. It requires bouncing only one time in the floor before arriving in the dog bed. It only can be achieved with the dodgeball, since the beach ball does not bounce a lot. ","You get infinite tries, you need to get the ball to the dog bed. It could be arranged to have some rewards for how many points you make. The rewards could be Netflix or something. ",2,1 out of 10 tries.,8 times out of 45,"I like it because it can be challenging to throw the ball with the sufficient force to make it pass the chairs but in the correct angle for it to also bounce and fall in the dog bed. But, sometimes the chairs make some invisible wall that does not permit the ball to bounce further. Thus, it kind of makes it even more difficult. ","I mainly applied the games that I used to play when little. As a lonely child in a room, you kind of get away with different games that are meant to test physics, like bouncing. So, I focused on the game that required to move a lot inside the room. ","None, just took a couple of minutes to understand the way it worked.","None, thank you.",None.,True,"setup,gameplay,scoring,difficulty,firstTimeScore"
91,91,169,IhOkh1l3TBY9JJVubzHx,2022-01-22 22:23:14.714000+00:00,many_objects,Monitor has to be taken off the table using other objects. Bin has to be placed in the center of the table and frozen. Dodgeballs and the beachball have to be placed on the rug.,Player is supposed to throw balls inside the bin. Player must stand on the rug during performing the action. Each ball that is succesfully thrown inside the bin is scored.,Each dodgeball counts as one point. Getting three points grants victory. Player can also try to score beachball. Scoring beachball once grants instant victory. Beachball has to perfectly fit into the Bin and not fall down. Player has five minutes to finish the challenge,3,3,I scored nothing,Now that I've played my game I see that score should be counted differently. Player should score three points in total. No matter what colour of dodgeball it is. One scored beachball grants one point. Scoring beachball should still grant instant win. The time limit should be increased to five minutes.,I tried to find objects that could help with scoring. The first thing that came up to my mind was simple basketball game using bin and some balls. Then I needed placement and rules so I placed bin in higher place and set rug as starting point. Throw action provided me with essential ability to score balls into the bin.,Controls are poorly made and I had difficulties with holding objects or turning my character. Objects were falling down very often when I turned too quickly.,Improve control system. It is frustrating as objects and camera are in chaos.,I did not use anything additional.,True,"scoring,firstTimeScore"
92,92,170,NJUY0YT1Pq6dZXsmw0wE,2022-01-22 23:07:57.012000+00:00,few_objects,We have to hide some items behind or inside other items,Find all secret hidden items,"Player gets points depending on the item found. For example, smaller items or items inside furniture could award more points.",0,Max score (8 points??),"8 points (the max, because I know where I hid the items :/)","It's a silly game but unfortunately I could think of anything better using the environment and items provided. Tried to make an ""easter egg"" white the blocks which (look like that) can be taken down with the dodgeballball on the curved ramp.",I tried to use the mechanics provided by the game engine but could only think of something scoreable mostly by using the move and interact mechanics to hide items. ,"No, everything ran ok. Some items disappeared (e.g a ball got out of the wall when I move close) but nothing too serious.",Nothing else I can think of.,I didn't use any external tool.,True,firstTimeScore
93,93,173,R9nZAvDq7um7Sg49yf8T,2022-01-22 23:16:30.965000+00:00,many_objects,"For this game I would need to have the trash can in some specific spot, but that spot can change. The player would have a dogeball in the hands and try to score it the trash can.",A game I could play in this room is a classic basket. Just pick up a dogeball and try to hit it inside the trash can.,Each throw inside the trash can would give the player 1 point. Otherwise 0 points.,3,I would score 0 points,0 points,"I find it a bit harder than I thought, but it's possible",I just looked at the trash can and at some balls and immediately the idea of throwing some balls inside the trash can came to my mind.,Not at all.,No.,Not a single one.,True,difficulty
94,94,174,IvoZWi01FO2uiNpNHyci,2022-01-22 23:40:50.483000+00:00,many_objects,Leave all objects where they are to start the game.,The object of the game is to throw the golfballs and the dodgeballs into the trashbin. You pick up a golfball or dodgeball and then stand with your back against the mirror on the door and try to toss it into the bin. You have 8 attempts to make it into the bin. Highest score wins,You get 3 points for each golfball you make into the bin and 6 points for each dodgeball you toss into the bin. ,3,9,15,The amount of attempts should be limited to 8. Also it should be 5 points for each dodgeball and 3 per golfball. ,I went with what would be the easiest to explain and easiest to prepare. Something that didn't require much of a setup and was simple. I felt this was a game that almost anyone could understand and also participate in. ,No,No,No,True,"gameplay,scoring,difficulty,firstTimeScore"
95,95,175,6XD5S6MnfzAPQlsP7k30,2022-01-23 00:16:30.044000+00:00,few_objects,"Pick up the bin and put it next to the chair, below the laptop.","Go to the pink zone in the carpet, pick up a dogeball (in the wall) and try to throw it into the bin. You can only throw tha dogeball in the pink zone. You can't zoom in or zoom out after picking up the dodgeball.","For each dogeball you put in the bin you got 1 point, if you miss you lose 1 point. For every bounce the dogeball makes before entering the bin you get 1 extra point. You can't have less than 0 points. You got 5 minutes to make as many points as you can.",3,10,12,"I think the game is simple, fun and can entertain someone for as few minutes.",I tried to think about something that most players would be familiar with. In this case i used basketball because. The game had to be fun and challenging to be more engaging. I also tried to keep it simple and easy to set up.,no.,The experiment was fun.,yes.,True,"gameplay,scoring,difficulty,firstTimeScore"
96,96,176,LTZh4k4THamxI5QJfVrk,2022-01-23 00:16:54.222000+00:00,few_objects,,"The game is basically a game composed of several minigames, from hitting the balls in the bucket to trying to build the biggest tower of random objects","Each ""basket"" is 3 points, each thing breaked is 1 point and the biggest tower made is 1 point per object and 5 additional points if is a new record",1,20,23,"Its a pretty simple game and so became really boring really fast but in this room is dificult to make better, at least for me","I just tried to think about the best simple game with the most random stuff on the room and also tried to make different ""mini-games"" to captivate a diverse audience",I dont think so ,"This is a really dificult task becase everything is to random and limited, not only in the objects but also in the fisics ",I make a quick interviews to my friends about their thoughts,False,
97,97,179,4WUtnD8W6PGVy0WBtVm4,2022-01-23 02:36:11.871000+00:00,medium_objects,,Player takes the red Dodgeball. They stand anywhere outside the rug in front of the SmallRamp. They throw the Dodgeball so it hits the colors on the rug in front of the SmallRamp. Player has to score as many points as possible in 1 min.,"If the Dodgeball hits the colors in front of the SmallRamp, then player gets 1 point.",1,25,11,It was way harder than I thought it would be. I shouldn't have made it so hard.,"I looked at what was located in the room that I could use for a simple game. I tried to make the simplest use of the objects and furnishings in the room, while still making it a challenge, and easy for the player to learn. I thought of the simplest game that could be played using them, and the ball seemed to be easiest.",No.,None.,No.,True,"setup,gameplay,firstTimeScore"
98,98,180,5lTRHBueXsaOu9yhvOQo,2022-01-23 02:53:28.456000+00:00,medium_objects,"Move the trash bin over so its not under the cabinet, and get the three balls and move them onto your bed.","You toss the various balls from your bed while laying down and bounce it off of the wall into the trash bin. If the throw the biggest ball in first you won't be able to fit the smaller ones in, so you have to use strategy to get the most points.",If you land a ball into the trash bin you get 1 point for the big ball 2 points for the medium ball and 3 points for the smallest ball. If you get all 3 balls into the trash you get a total of 6 points the maximum and you win.,4,"Probably atleast 1, it pretty hard to miss the biggest ball.",I scored 0,"It seems a bit short, and the difficulty seems a bit harder than i thought it was going to be before playing the gamed","Anything object that felt like it could be used in a game i would consider using it in a game. I thought about using the ramps and bridge, but the balls looked like the most fun to just try to throw in the trash.",I wasnt really able to lay on the bed like i wanted to in my game description.,This was fun,Nope,True,difficulty
99,99,181,8cc9xnijzmS7uwGDaAoL,2022-01-23 02:56:27.982000+00:00,few_objects,,"pick a cubeblock and try to throw it on one of the shelves, you have to stay in front of the bed","the score is 6/6, you have to get one cubeblock in in three attempts",1,1,0,I could change some rules and it was harder than I expected,"I used memories of my childhood, what I played when I was younger, I considered throwing something, first in the bin but the cubes where perfect to throw on the shelves",no technical difficulties,I would like to know if the game I created is useful to something,I just used the tools in the virtual room,True,gameplay
100,100,183,9kyHjMMQRK3eP9vlLpw0,2022-01-23 15:33:50.652000+00:00,medium_objects,"Place the bin on top of the bed and the dog bed on the floor in front of the bed, in line with the bin.","Standing at the desk, try to throw the dodgeball into either the bin or dog bed as many times as possible within two minutes.",Three points for landing the ball in the bin and two for the dog bed.,2,I would score at least four I would say.,I scored seven,It's simplistic but fun enough and somewhat challenging.,I chose the simplest game I could think of to fulfill the requirements so the task would not be overly difficult.,No,,No just memory.,False,
101,101,184,T2dYV1nPh5cmt3NBELdS,2022-01-23 15:39:23.007000+00:00,few_objects,"the bin needs to be ontop op the bed,plcae the chairs out of the way since the would not be of use within the game,place the ramp infront of bed facing the desk (so that ball rolls from ramp to desk if it falls on ramp),place 2 blue blocks about 1metre from desk and yellow blocks about 2 metres from desk infront of blue blocks.","the balls will be used to try and throw them into the bin that is placed on the bed,by standing behind the blue blocks it will be a further distance to throw,by standing behind the yellow blocks it will be closer to the bin and thus easier to throw balls in.if you miss the bin the balls will fal on the ramp and roll back to the starting point (either behind blue or yellow blocks depending on how difficult you want it to be)","If you throw a ball in from behind the blue blocks it will count as 10 points,where throwing a ball in from behind the yellow blocks will count as 5 points.If you throw both balls in from behind the blue blocks it will count as 30 points and if you throw both balls in from behind the yellow blocks it will count as 15 ponts.Once you miss both balls on a attempt your points will reset and the goal is to reach 50 points to move on to different level.",3,5 points,,,,,,,False,
